epoch,acc,loss,val_acc,val_loss
0,0.9214062523841858,0.282649128139019,0.9245312494039536,0.2695333270728588
1,0.9430729186534882,0.16907622821629048,0.9174572583831679,0.30164002691138475
2,0.9495563676063601,0.1454784772341336,0.9152679320570825,0.3221119336777672
3,0.9598177075386047,0.11652621764689684,0.910680775696084,0.37503562180373545
4,0.9631770849227905,0.09929502356797457,0.9116927075386048,0.38455688297748564
5,0.968215028104802,0.0885366132245681,0.9104201420333805,0.40475980831843006
6,0.9720312482118607,0.07631458713673055,0.909429732762942,0.44593908199675386
7,0.9733820449833084,0.07229469966975532,0.9049468305928197,0.519769902473892
8,0.9766145843267441,0.06364058947190643,0.9061458343267441,0.5165803894400597
9,0.977057294845581,0.061871940596029164,0.9084914502648138,0.4853153045074059
10,0.9785490631808319,0.059441026261305756,0.9040085494369144,0.5284985358064825
11,0.9819531255960464,0.049564199494197964,0.9060154297731636,0.5296735208764287
12,0.9814322924613953,0.0478797488193959,0.9033854162693024,0.5776039353013038
13,0.9838465549502841,0.0429550756554514,0.9039824875421182,0.5226711100643132
14,0.9830468755960464,0.04215046021156013,0.9039564233108597,0.5634802364129837
15,0.9854645079262321,0.039592666278490195,0.904581942938088,0.5461104883065911
16,0.9863020813465119,0.036824560174718496,0.9034895843267441,0.5352421593666077
17,0.9873697900772095,0.035806700293906035,0.9045819430872238,0.5437781269894331
18,0.9845250534115355,0.03994853410846505,0.9028617590541538,0.5763361728420051
19,0.9866927069425583,0.03258013825397939,0.9042691843921289,0.5833554619346886
